"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"Anadolu Efes IstanbulIST",2870,785,1570,265,787,505,688,"7100:00",404,437,2891,917,626,361,765,1439,303,762,452,595,"7100:00",488,118,808,678,242
"Baskonia Vitoria GasteizBAS",2705,719,1349,270,763,457,599,"6600:00",452,369,2648,785,607,347,617,1243,297,789,523,696,"6600:00",434,100,837,712,221
"Brose BambergBAM",2397,602,1098,280,697,353,451,"6050:00",375,223,2430,708,547,296,591,1157,256,676,480,612,"6050:00",337,82,724,658,164
"Crvena Zvezda mts BelgradeRED",2209,609,1216,204,616,379,505,"6025:00",361,277,2204,770,490,267,570,1044,235,670,359,464,"6025:00",486,49,664,607,271
"CSKA MoscowCSK",3063,745,1351,305,756,658,801,"7049:16",501,331,2799,763,696,375,691,1351,295,815,532,716,"7050:00",531,113,840,791,249
"Darussafaka Dogus IstanbulDAR",2691,646,1322,304,826,487,664,"6825:00",377,397,2706,846,474,350,719,1331,277,751,437,594,"6825:00",409,84,789,691,209
"EA7 Emporio Armani MilanMIL",2422,673,1283,212,606,440,584,"6025:00",426,339,2621,703,523,316,634,1115,299,770,456,586,"6025:00",413,46,664,660,211
"FC Barcelona LassaBAR",2141,496,1023,271,716,336,456,"6025:00",443,282,2242,703,517,295,571,1115,263,729,311,416,"6025:00",368,61,733,553,212
"Fenerbahce IstanbulULK",2680,647,1252,309,773,459,604,"7050:00",440,313,2577,785,612,343,668,1309,278,789,407,557,"7049:16",445,124,834,686,226
"Galatasaray Odeabank IstanbulGAL",2345,608,1195,276,682,301,416,"6000:00",360,280,2475,741,586,372,658,1283,267,653,358,492,"6000:00",366,117,676,563,186
"Maccabi FOX Tel AvivTEL",2341,626,1206,244,622,357,492,"6025:00",425,260,2509,734,527,342,656,1224,274,784,375,496,"6025:00",330,53,763,606,163
"Olympiacos PiraeusOLY",2863,714,1411,305,879,520,704,"7425:00",465,434,2734,884,565,382,739,1582,255,710,491,651,"7425:00",430,123,948,742,224
"Panathinaikos Superfoods AthensPAN",2520,601,1188,306,865,400,563,"6725:00",368,326,2464,857,498,330,638,1312,262,678,402,536,"6725:00",453,100,776,657,245
"Real MadridMAD",3070,758,1344,350,939,504,656,"7200:00",436,394,2849,802,727,369,732,1432,291,817,512,676,"7200:00",437,104,900,759,241
"Unics KazanUNK",2298,610,1219,216,589,430,541,"6025:00",379,320,2425,690,472,305,645,1226,250,651,385,495,"6025:00",348,81,682,575,163
"Zalgiris KaunasZAL",2350,597,1149,248,637,412,519,"6000:00",409,332,2391,635,571,264,542,1013,263,709,518,661,"6000:00",346,55,685,699,148
