"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1083,72.2,"61.43%",1.15,115.7,115.2,-0.5,"58.61%","57.79%","39.89%",923
"AX Armani Exchange Olimpia MilanMIL",1104,73,"61.06%",1.21,121.3,121.1,-0.2,"57.02%","55.44%","39.68%",961
"Buducnost VOLI PodgoricaBUD",1086,72.4,"52.10%",1.01,123.9,100.6,-23.3,"49.21%","48.53%","33.77%",953
"CSKA MoscowCSK",1072,71.5,"61.10%",1.21,114.2,121.3,7.1,"57.38%","56.55%","39.23%",942
"Darussafaka Tekfen IstanbulDAR",1094,72.9,"52.38%",0.98,122.9,98,-24.9,"49.02%","51.50%","29.60%",923
"FC Barcelona LassaBAR",1071,70.8,"56.26%",1.09,113.4,108.6,-4.8,"52.04%","51.91%","34.85%",906
"FC Bayern MunichMUN",1042,69.5,"59.06%",1.11,118.2,110.6,-7.6,"55.66%","54.36%","38.44%",874
"Fenerbahce Beko IstanbulULK",1026,66.7,"63.80%",1.21,112.2,121,8.8,"60.13%","56.60%","43.75%",859
"Herbalife Gran CanariaCAN",1092,72.8,"52.12%",1.01,123.9,101.5,-22.4,"49.17%","49.64%","32.36%",967
"Khimki Moscow RegionKHI",1059,70.6,"57.13%",1.12,118.9,111.5,-7.4,"53.74%","54.72%","35.05%",936
"KIROLBET Baskonia Vitoria-GasteizBAS",1082,71.5,"58.00%",1.12,117,111.8,-5.2,"54.98%","54.47%","37.22%",923
"Maccabi FOX Tel AvivTEL",1072,71.5,"53.68%",1.08,113.2,107.9,-5.3,"51.17%","52.05%","33.25%",983
"Olympiacos PiraeusOLY",1026,68.4,"55.03%",1.08,111.9,107.5,-4.4,"51.44%","50.96%","34.85%",901
"Panathinaikos OPAP AthensPAN",1056,70.4,"54.69%",1.07,112.9,107.2,-5.7,"51.97%","53.80%","31.97%",939
"Real MadridMAD",1077,71.8,"57.56%",1.11,107,111.3,4.3,"54.20%","52.63%","37.33%",928
"Zalgiris KaunasZAL",1061,69.6,"57.81%",1.1,111.2,109.7,-1.5,"51.67%","50.65%","36.11%",866
